Date,AAPL,AAPL/FB,AMZN,AMZN/AAPL,AMZN/FB,FB,ln(AAPL),ln(AMZN),ln(FB)
2013-05-07,61.577659882558,2.2899836326722944,257.73,4.185446483213997,9.584603941985868,26.89,4.120299140516704,5.551912525318075,3.2917544702807735
2013-05-08,62.273375281639005,2.2962159027153026,258.68,4.153942175610168,9.53834808259587,27.12,4.131533971392237,5.555591776578392,3.3002714630721948
2013-05-09,61.733665535536005,2.283049760929586,260.16,4.214232181794601,9.62130177514793,27.04,4.1228294147746745,5.561296826359446,3.2973172511747633
2013-05-10,61.220085552098,2.2946059052510495,263.63,4.306266442173658,9.881184407796102,26.68,4.114475330969704,5.574546604953836,3.283914221047423
2013-05-13,61.459305702278,2.29154756533475,264.51,4.303823432066462,9.86241610738255,26.82,4.118375259897202,5.577879057767046,3.2891478778535324
2013-05-14,59.988845118119,2.216063728042815,268.33,4.472998262787922,9.912449205762837,27.07,4.0941586302398045,5.592217566313047,3.29842610362621
2013-05-15,57.960204183537996,2.1789550444939096,266.56,4.599017614843204,10.021052631578947,26.6,4.059756640281646,5.585599358978478,3.2809112157876537
2013-05-16,58.734358432257004,2.247774911299541,264.12,4.496856815157529,10.107921928817452,26.13,4.0730248781253096,5.576403545326371,3.263084079532521
2013-05-17,58.556227269581,2.230713419793562,269.9,4.609245038233681,10.28190476190476,26.25,4.069987442536366,5.598051520023959,3.2676659890376327
2013-05-20,59.863153174803,2.323880169829309,267.63,4.470696677445453,10.389363354037267,25.76,4.092061176860869,5.589605429593802,3.248822901236153
2013-05-21,59.421204083792,2.31571333140265,268.86,4.524647457848056,10.477786438035855,25.66,4.084651133777181,5.594190798026107,3.2449333591874905
2013-05-22,59.650152634304,2.370832775608267,262.96,4.408370949394272,10.451510333863274,25.16,4.088496707372236,5.572001929355964,3.22525543183224
2013-05-23,59.756382599299,2.3845324261492022,261.8,4.3811219590636865,10.446927374301676,25.06,4.090276006852173,5.5675808534758,3.221272949467922
2013-05-24,60.163192007233,2.4748330731070753,261.74,4.3505005513758785,10.766762649115591,24.31,4.097060736864893,5.567351644627335,3.1908877883280318
2013-05-28,59.661640607618,2.475586747204066,267.29,4.480098054257507,11.090871369294605,24.1,4.088689277998111,5.588334211296536,3.1822118404966093
2013-05-29,60.136161481788996,2.578737627864022,265.53,4.415479695697077,11.386363636363635,23.32,4.096611349148086,5.581727828648895,3.1493113614822916
2013-05-30,61.032223400261,2.4860376130452546,266.83,4.371952800245827,10.868839103869654,24.55,4.111401977160391,5.586611751498252,3.2007118542405295
2013-05-31,60.782866803039,2.49621629581269,269.2,4.428879619520359,11.055441478439423,24.35,4.107307953257519,5.595454597770573,3.192531849528599
2013-06-03,60.915992140852005,2.5541296495116144,266.88,4.381115543237169,11.189937106918238,23.85,4.109495736973283,5.586799119170382,3.1717842173343502
2013-06-04,60.725426936471,2.58186339015608,265.7,4.375432391409398,11.296768707482993,23.52,4.106362505517634,5.582367852765768,3.1578511230304263
2013-06-05,60.157785902144006,2.6269775503119654,267.17,4.441154141453835,11.666812227074237,22.9,4.096970875476021,5.587885159910029,3.131136910560194
2013-06-06,59.259020931128,2.579844185073052,267.83,4.519649427068281,11.659991292990858,22.97,4.081918020428241,5.590352450881295,3.134189016701007
2013-06-07,59.711917384944,2.5638435974643197,276.87,4.636762846101658,11.887934735938172,23.29,4.08953162166524,5.623548081945595,3.1480240838962494
2013-06-10,59.317136560832004,2.4380245195574193,281.07,4.738428324363768,11.552404438964242,24.33,4.082898245046521,5.638603748631207,3.1917101567954314
2013-06-11,59.142789671718,2.4612063949945067,274.78,4.64604394762595,11.434873075322512,24.03,4.079954683952988,5.615970777495802,3.1793030497483774
2013-06-12,58.411613958455,2.4573670155008416,271.67,4.650958629446947,11.429112326461928,23.77,4.0675147392139595,5.604588094436128,3.1684242813721024
2013-06-13,58.921815126211996,2.483009486987442,275.79,4.680609370387708,11.621997471554995,23.73,4.076211397742658,5.619639706543773,3.166740070447672
2013-06-14,58.122387336203005,2.45968630284397,273.99,4.714018342280624,11.595006347862887,23.63,4.06255091384271,5.613091609371697,3.1625170911988163
2013-06-17,58.385934959283,2.430721688562989,278.06,4.762448356678926,11.576186511240634,24.02,4.067075021089329,5.627836917741397,3.1788868166518376
2013-06-18,58.354849855022,2.4103614149121024,281.76,4.8283904542640474,11.63816604708798,24.21,4.0665424719027685,5.641055644747896,3.1867657709499673
2013-06-19,57.169561314298,2.3516890709295764,278.16,4.8655262276856535,11.442204853969562,24.31,4.046021611891498,5.628196487699606,3.1908877883280318
2013-06-20,56.336750825365,2.3571862270027197,273.44,4.853670046531804,11.44100418410042,23.9,4.031347089953908,5.6110822193672805,3.173878458937465
2013-06-21,55.885611355702,2.2782556606482673,273.36,4.891420051936305,11.143905421932327,24.53,4.023306947308955,5.610789607807036,3.199896858270398
2013-06-24,54.404338561365,2.2725287619617793,270.61,4.974051834023629,11.303675856307436,23.94,3.996443903648067,5.600678669968875,3.1755507001298273
2013-06-25,54.416502297815,2.2439794761985565,272.09,5.00013761470526,11.22020618556701,24.25,3.9966674589230418,5.606132893919445,3.188416617383492
2013-06-26,53.800206317688996,2.2268297316924253,277.57,5.159273894991321,11.488824503311259,24.16,3.985277302061668,5.626073153628491,3.184698373066614
2013-06-27,53.220401546913,2.158167134911314,277.55,5.215105334283202,11.25506893755069,24.66,3.9744418105589037,5.626001097136171,3.2051824977361982
2013-06-28,53.592071271769,2.1540221572254423,277.69,5.181550057877318,11.161173633440514,24.88,3.981401133100757,5.626505383581552,3.2140642678709788
2013-07-01,55.307158111198,2.229228460749617,282.1,5.1006055930919985,11.370415155179364,24.81,4.012902341583621,5.642261618007951,3.21124679770371
2013-07-02,56.560022965533,2.317084103463048,283.73,5.016440678832497,11.623514952888161,24.41,4.035302427626655,5.64802308172996,3.1949928844048685
2013-07-03,56.872225534412,2.3194219222843393,284.03,4.9941776909739595,11.583605220228383,24.52,4.040807094268707,5.649079866385166,3.1994891110680106
2013-07-05,56.41540965440699,2.3149532069924903,285.88,5.067409804364825,11.73081657775954,24.37,4.03274234200882,5.655572142351778,3.193352867637115
2013-07-08,56.095097927894,2.270137512257952,290.59,5.1803100579935055,11.760016187778225,24.71,4.027048427746255,5.671913338981806,3.2072080200005186
2013-07-09,57.081712106604,2.2402555771822605,291.53,5.107239941499087,11.441522762951333,25.48,4.044483787018715,5.675142916447037,3.2378938307039626
